챔피언명,직업군,포지션,티어,종합_점수,변화량,승률,포지션_사용률,픽률,밴률,KDA
초가스,탱커,탑,A,51.89,-1.43,51.25%,65.85%,3.06%,1.32%,2.07
초가스,탱커,미드,B,43.75,0.1,51.56%,18.54%,0.76%,1.32%,2.41
코르키,원거리 딜러,미드,C,37.15,-0.31,48.34%,86.30%,0.88%,0.18%,2.19
다리우스,전사,탑,최상위,89.77,2.57,49.01%,92.99%,8.46%,19.04%,1.8
다이애나,전사,미드,B,40.75,-2.3,49.94%,24.93%,1.18%,1.35%,2.13
다이애나,전사,정글,C,39.37,-2.64,48.59%,72.61%,3.35%,1.35%,2.38
문도 박사,원거리 딜러,탑,A,50.46,-2.71,51.84%,85.89%,2.78%,2.61%,1.87
드레이븐,전사,원거리 딜러,A,48.93,-0.17,50.13%,95.95%,6.31%,21.39%,2.14
에코,암살자,정글,A,53.28,2.72,50.55%,63.13%,4.83%,3.14%,2.68
에코,암살자,미드,B,46.68,0.75,50.43%,34.00%,2.52%,3.14%,2.24
엘리스,마법사,정글,C,36.51,1,49.21%,92.93%,1.98%,1.72%,2.71
이블린,암살자,정글,S,57.3,2.59,51.18%,97.95%,4.67%,9.69%,2.95
이즈리얼,원거리 딜러,원거리 딜러,최상위,72.99,-19.84,50.10%,87.80%,19.96%,8.96%,2.49
이즈리얼,원거리 딜러,미드,D,33.67,-7.35,44.02%,10.31%,2.37%,8.96%,1.98
피들스틱,마법사,정글,A,48.92,0.28,51.22%,79.76%,3.48%,3.61%,2.75
피들스틱,마법사,서포터,C,37.61,-0.4,51.49%,12.24%,0.50%,3.53%,2.03
피오라,전사,탑,S,69.54,0.38,51.21%,97.48%,5.55%,13.56%,1.69
피즈,암살자,미드,S,62.51,1.61,51.79%,95.00%,5.92%,9.40%,2.39
갈리오,탱커,미드,B,46.34,0.19,50.84%,75.81%,1.67%,0.33%,2.62
갈리오,탱커,서포터,C,35.96,0.01,50.22%,19.28%,0.38%,0.33%,2.33
갱플랭크,전사,탑,S,58.79,0.16,49.58%,85.39%,4.78%,4.41%,1.95
갱플랭크,전사,미드,B,44.29,1.67,52.23%,13.06%,0.76%,4.41%,2.25
가렌,전사,탑,S,70.64,0.3,50.59%,86.57%,6.36%,2.43%,1.99
나르,전사,탑,B,40.81,-1.82,47.68%,95.79%,2.90%,0.57%,1.8
그라가스,전사,정글,B,45.62,0.69,49.04%,49.51%,3.81%,3.23%,2.8
그라가스,전사,탑,C,38.22,-3.15,46.45%,33.32%,2.67%,3.23%,1.96
그라가스,전사,미드,C,36.71,-1.32,48.01%,10.62%,0.80%,3.23%,2.26
그레이브즈,원거리 딜러,정글,최상위,72.71,1.85,50.77%,91.21%,8.58%,4.98%,2.65
